2013-08-27 20:07:01 | 127.0.0.1 | /qianshuiwan/admin/index.php/article/add.html | MySQL Query Error<br>
					<b>SQL</b>: SELECT id,pid,name FROM qsw_category <br>
					<b>错误详情</b>: Table 'qianshuiwan.qsw_category' doesn't exist<br>
					<b>错误代码</b>:1146<br>
2013-08-27 21:32:23 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
2013-08-27 21:32:33 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
2013-08-27 21:35:13 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
2013-08-27 21:35:14 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
2013-08-27 21:35:52 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
2013-08-27 21:36:47 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
2013-08-27 21:37:16 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
2013-08-27 21:41:43 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
2013-08-27 22:21:07 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
2013-08-27 22:21:10 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
2013-08-27 22:21:13 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
2013-08-27 22:21:15 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
2013-08-27 22:21:17 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
2013-08-27 22:21:19 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
2013-08-27 22:21:21 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
2013-08-27 22:22:04 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
2013-08-27 22:22:10 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
2013-08-27 22:22:11 | 127.0.0.1 | /qianshuiwan/admin/index.php/public/js/ke4/lang/zh_CN.js |public模块不存在
